gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022401172,1610612753,Orlando,Magic,ORL,magic,240:00,614.3,122.9,542.5,108.5,71.8,14.4,0.653,1.6,21.6,0.282,0.596,0.462,19.048,19.0,0.653,0.684,1.0,0.974,21.1,105.5,87.92,105.0,0.591
0022401184,1610612758,Sacramento,Kings,SAC,kings,240:00,537.6,107.5,554.9,111.0,-17.3,-3.5,0.622,2.09,17.6,0.306,0.805,0.533,11.828,11.8,0.494,0.541,1.0,0.954,18.4,92.0,76.67,93.0,0.501
0022401184,1610612746,LA,Clippers,LAC,clippers,240:00,554.9,111.0,537.6,107.5,17.3,3.5,0.475,1.58,16.1,0.195,0.694,0.467,13.187,13.2,0.558,0.588,1.0,0.99,18.4,92.0,76.67,91.0,0.499
0022401180,1610612743,Denver,Nuggets,DEN,nuggets,240:00,573.5,114.7,529.1,105.8,44.4,8.9,0.727,2.46,21.3,0.314,0.778,0.552,12.745,12.7,0.511,0.559,1.0,0.983,20.5,102.5,85.42,102.0,0.574
0022401180,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,529.1,105.8,573.5,114.7,-44.4,-8.9,0.634,2.0,18.4,0.222,0.686,0.448,12.621,12.6,0.527,0.549,1.0,0.965,20.5,102.5,85.42,103.0,0.426
0022401175,1610612752,New York,Knicks,NYK,knicks,240:00,548.4,109.7,574.5,114.9,-26.1,-5.2,0.611,2.0,16.8,0.296,0.667,0.458,11.828,11.8,0.5,0.527,1.0,0.963,18.7,93.5,77.92,93.0,0.438
0022401175,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,574.5,114.9,548.4,109.7,26.1,5.2,0.605,1.53,17.6,0.333,0.704,0.542,15.957,16.0,0.565,0.599,1.0,0.972,18.7,93.5,77.92,94.0,0.562
0022401174,1610612738,Boston,Celtics,BOS,celtics,240:00,650.0,130.0,470.0,94.0,180.0,36.0,0.714,3.5,23.8,0.25,0.729,0.514,10.0,10.0,0.637,0.648,1.0,0.982,20.0,100.0,83.33,100.0,0.662
0022401174,1610612766,Charlotte,Hornets,CHA,hornets,240:00,470.0,94.0,650.0,130.0,-180.0,-36.0,0.694,1.47,17.9,0.271,0.75,0.486,17.0,17.0,0.468,0.483,1.0,0.991,20.0,100.0,83.33,100.0,0.338
0022401185,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,666.7,133.3,519.0,103.8,147.6,29.5,0.528,2.15,20.0,0.189,0.776,0.523,12.381,12.4,0.718,0.714,1.0,0.973,21.0,105.0,87.5,105.0,0.629
0022401185,1610612745,Houston,Rockets,HOU,rockets,240:00,519.0,103.8,666.7,133.3,-147.6,-29.5,0.537,1.16,15.9,0.224,0.811,0.477,18.095,18.1,0.556,0.572,1.0,0.974,21.0,105.0,87.5,105.0,0.371
0022401173,1610612755,Philadelphia,76ers,PHI,sixers,240:00,539.2,107.8,620.0,124.0,-80.8,-16.2,0.674,1.93,19.3,0.345,0.642,0.491,14.706,14.7,0.505,0.531,1.0,0.959,20.2,101.0,84.17,102.0,0.442
0022401173,1610612737,Atlanta,Hawks,ATL,hawks,240:00,620.0,124.0,539.2,107.8,80.8,16.2,0.622,1.87,19.0,0.358,0.655,0.509,15.0,15.0,0.564,0.593,1.0,0.992,20.2,101.0,84.17,100.0,0.558
0022401181,1610612762,Utah,Jazz,UTA,jazz,240:00,513.9,102.8,677.6,135.5,-163.7,-32.7,0.59,1.44,15.1,0.333,0.848,0.545,14.815,14.8,0.461,0.496,1.0,0.984,21.5,107.5,89.58,108.0,0.352
0022401181,1610612760,Oklahoma City,Thunder,OKC,thunder,240:00,677.6,135.5,513.9,102.8,163.7,32.7,0.732,4.1,26.5,0.152,0.667,0.455,9.346,9.3,0.68,0.686,1.0,1.0,21.5,107.5,89.58,107.0,0.648
0022401177,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,490.6,98.1,715.0,143.0,-224.4,-44.9,0.711,1.8,18.4,0.237,0.633,0.417,14.151,14.2,0.474,0.501,1.0,0.975,21.3,106.5,88.75,106.0,0.305
0022401177,1610612748,Miami,Heat,MIA,heat,240:00,715.0,143.0,490.6,98.1,224.4,44.9,0.621,4.0,22.4,0.367,0.763,0.583,8.411,8.4,0.654,0.673,1.0,0.976,21.3,106.5,88.75,107.0,0.695
0022401171,1610612765,Detroit,Pistons,DET,pistons,240:00,595.0,119.0,625.0,125.0,-30.0,-6.0,0.652,2.73,20.8,0.269,0.698,0.486,11.0,11.0,0.591,0.59,1.0,0.974,20.0,100.0,83.33,100.0,0.458
0022401171,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,625.0,125.0,595.0,119.0,30.0,6.0,0.698,4.29,20.5,0.302,0.731,0.514,7.0,7.0,0.548,0.59,1.0,0.983,20.0,100.0,83.33,100.0,0.542
0022401178,1610612742,Dallas,Mavericks,DAL,mavericks,240:00,596.2,119.2,490.4,98.1,105.8,21.2,0.694,1.7,22.4,0.349,0.719,0.57,19.231,19.2,0.635,0.643,1.0,0.966,20.8,104.0,86.67,104.0,0.644
0022401178,1610612761,Toronto,Raptors,TOR,raptors,240:00,490.4,98.1,596.2,119.2,-105.8,-21.2,0.55,2.0,15.3,0.281,0.651,0.43,10.577,10.6,0.455,0.473,1.0,0.975,20.8,104.0,86.67,104.0,0.356
0022401182,1610612756,Phoenix,Suns,PHX,suns,240:00,596.9,119.4,500.0,100.0,96.9,19.4,0.614,2.45,19.4,0.288,0.788,0.538,11.224,11.2,0.563,0.586,1.0,0.991,19.6,98.0,81.67,98.0,0.579
0022401182,1610612759,San Antonio,Spurs,SAS,spurs,240:00,500.0,100.0,596.9,119.4,-96.9,-19.4,0.718,1.87,20.4,0.212,0.712,0.462,15.306,15.3,0.506,0.519,1.0,0.982,19.6,98.0,81.67,98.0,0.421
0022401176,1610612741,Chicago,Bulls,CHI,bulls,240:00,583.3,116.7,432.0,86.4,151.3,30.3,0.744,2.46,21.5,0.294,0.75,0.533,12.745,12.7,0.532,0.579,1.0,0.983,20.5,102.5,85.42,102.0,0.658
0022401176,1610612764,Washington,Wizards,WAS,wizards,240:00,432.0,86.4,583.3,116.7,-151.3,-30.3,0.743,1.44,18.2,0.25,0.706,0.467,17.476,17.5,0.44,0.462,1.0,0.957,20.5,102.5,85.42,103.0,0.342
0022401179,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,635.9,127.2,494.6,98.9,141.3,28.3,0.643,2.25,20.8,0.289,0.717,0.551,13.043,13.0,0.617,0.652,1.0,0.981,18.4,92.0,76.67,92.0,0.676
0022401179,1610612751,Brooklyn,Nets,BKN,nets,240:00,494.6,98.9,635.9,127.2,-141.3,-28.3,0.727,2.4,18.0,0.283,0.711,0.449,10.87,10.9,0.433,0.467,1.0,0.972,18.4,92.0,76.67,92.0,0.324
0022401170,1610612763,Memphis,Grizzlies,MEM,grizzlies,240:00,606.8,121.4,691.2,138.2,-84.4,-16.9,0.565,1.73,18.3,0.265,0.683,0.456,14.563,14.6,0.618,0.636,1.0,0.974,20.5,102.5,85.42,103.0,0.432
0022401170,1610612750,Minnesota,Timberwolves,MIN,timberwolves,240:00,691.2,138.2,606.8,121.4,84.4,16.9,0.604,1.81,20.3,0.317,0.735,0.544,15.686,15.7,0.667,0.71,1.0,1.0,20.5,102.5,85.42,102.0,0.568
0022401167,1610612765,Detroit,Pistons,DET,pistons,240:00,611.7,122.3,557.9,111.6,53.8,10.8,0.426,1.33,15.9,0.324,0.6,0.483,15.957,16.0,0.622,0.639,1.0,0.991,18.9,94.5,78.75,94.0,0.505
0022401167,1610612752,New York,Knicks,NYK,knicks,240:00,557.9,111.6,611.7,122.3,-53.8,-10.8,0.762,1.88,21.8,0.4,0.676,0.517,17.895,17.9,0.528,0.551,1.0,0.948,18.9,94.5,78.75,95.0,0.495
0022401169,1610612751,Brooklyn,Nets,BKN,nets,240:00,504.6,100.9,621.5,124.3,-116.9,-23.4,0.861,1.63,20.3,0.237,0.805,0.47,17.593,17.6,0.522,0.547,1.0,0.959,21.5,107.5,89.58,108.0,0.35
0022401169,1610612737,Atlanta,Hawks,ATL,hawks,240:00,621.5,124.3,504.6,100.9,116.9,23.4,0.75,2.4,23.8,0.195,0.763,0.53,14.019,14.0,0.661,0.675,1.0,0.991,21.5,107.5,89.58,107.0,0.65
0022401161,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,635.5,127.1,518.7,103.7,116.8,23.4,0.551,2.25,19.1,0.149,0.714,0.456,11.215,11.2,0.644,0.659,1.0,0.982,21.4,107.0,89.17,107.0,0.59
0022401161,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,518.7,103.7,635.5,127.1,-116.8,-23.4,0.683,1.75,18.7,0.286,0.851,0.544,14.953,15.0,0.505,0.532,1.0,0.992,21.4,107.0,89.17,107.0,0.41
0022401168,1610612754,Indiana,Pacers,IND,pacers,240:00,575.8,115.2,554.5,110.9,21.3,4.3,0.651,2.8,20.3,0.212,0.679,0.454,10.101,10.1,0.538,0.56,1.0,0.991,20.0,100.0,83.33,99.0,0.518
