gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE,wl,won
0022101150,1610612747,Los Angeles,Lakers,LAL,lakers,240:00,573.7,114.7,635.4,127.1,-61.7,-12.3,0.439,1.64,14.5,0.25,0.673,0.473,11.579,11.6,0.536,0.572,1.0,0.991,19.1,95.5,79.58,95.0,0.441,L,0
0022101149,1610612741,Chicago,Bulls,CHI,bulls,265:00,625.0,125.0,590.9,118.2,34.1,6.8,0.48,3.0,16.2,0.309,0.844,0.55,7.407,7.4,0.539,0.581,1.0,1.0,19.74,98.72,82.26,108.0,0.511,W,1
0022101149,1610612746,LA,Clippers,LAC,clippers,265:00,590.9,118.2,625.0,125.0,-34.1,-6.8,0.578,2.17,18.3,0.156,0.691,0.45,10.909,10.9,0.589,0.641,1.0,0.974,19.74,98.72,82.26,110.0,0.489,L,0
0022101148,1610612751,Brooklyn,Nets,BKN,nets,265:00,526.5,105.3,526.3,105.3,0.2,0.0,0.689,1.94,20.5,0.13,0.698,0.411,14.159,14.2,0.557,0.572,1.0,0.992,20.56,102.79,85.66,113.0,0.491,L,0
0022101148,1610612749,Milwaukee,Bucks,MIL,bucks,265:00,526.3,105.3,526.5,105.3,-0.2,0.0,0.425,0.74,11.6,0.302,0.87,0.589,20.175,20.2,0.517,0.577,1.0,0.969,20.56,102.79,85.66,114.0,0.509,W,1
0022100452,1610612737,Atlanta,Hawks,ATL,hawks,240:00,655.0,131.0,529.7,105.9,125.3,25.1,0.6,3.0,19.1,0.298,0.685,0.505,9.0,9.0,0.588,0.634,1.0,0.982,20.1,100.5,83.75,100.0,0.607,W,1
0022100452,1610612739,Cleveland,Cavaliers,CLE,cavaliers,240:00,529.7,105.9,655.0,131.0,-125.3,-25.1,0.487,1.36,13.9,0.315,0.702,0.495,13.861,13.9,0.472,0.523,1.0,0.983,20.1,100.5,83.75,101.0,0.393,L,0
0022101147,1610612765,Detroit,Pistons,DET,pistons,240:00,554.3,110.9,516.5,103.3,37.9,7.6,0.634,2.6,20.3,0.222,0.872,0.524,10.87,10.9,0.561,0.576,1.0,0.961,18.3,91.5,76.25,92.0,0.518,W,1
0022101147,1610612755,Philadelphia,76ers,PHI,sixers,240:00,516.5,103.3,554.3,110.9,-37.9,-7.6,0.71,1.47,18.6,0.128,0.778,0.476,16.484,16.5,0.5,0.578,1.0,0.99,18.3,91.5,76.25,91.0,0.482,L,0
0022101139,1610612738,Boston,Celtics,BOS,celtics,240:00,480.4,96.1,519.6,103.9,-39.2,-7.8,0.771,1.5,19.3,0.208,0.83,0.5,17.647,17.6,0.476,0.515,1.0,0.973,20.4,102.0,85.0,102.0,0.452,L,0
